,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
262,Bukama,CD,1559866496,-9.2,25.85,63.59,57,9,2.93
263,Marshfield,US,1559866394,42.09,-70.71,71.01,88,1,3.36
264,Vila Franca do Campo,PT,1559866496,37.72,-25.43,60.8,72,40,4.7
265,Broome,GB,1559866236,52.47,1.45,57.0,81,49,6.93
266,Geraldton,CA,1559866496,49.72,-86.95,75.2,29,40,10.29
267,Acajutla,SV,1559866497,13.59,-89.83,78.01,92,43,4.54
268,Bahia Blanca,AR,1559866497,-38.72,-62.27,56.21,36,0,12.12
269,Humaita,AR,1559866497,-24.93,-65.37,60.8,77,0,9.17
270,Abay,KZ,1559866497,49.63,72.87,51.8,93,75,15.66
271,Puerto Narino,CO,1559866497,-3.77,-70.38,73.4,100,90,2.1
272,Goderich,CA,1559866497,43.74,-81.71,66.99,63,0,8.01
273,Rio Gallegos,AR,1559866498,-51.62,-69.22,39.2,80,20,10.29
274,Inuvik,CA,1559866485,68.36,-133.71,60.8,30,75,4.7
275,Norman Wells,CA,1559866498,65.28,-126.83,53.6,43,75,14.99
276,Bonthe,SL,1559866498,7.53,-12.5,79.79,82,100,6.58
277,Bella Union,CO,1559866499,8.5,-73.35,68.63,94,100,2.55
278,Northfield,US,1559866499,44.46,-93.16,86.0,24,1,3.36
279,Brownwood,US,1559866499,31.71,-98.99,87.01,45,1,10.29
280,Salalah,OM,1559866499,17.01,54.1,86.0,84,40,9.17
281,Vardo,US,1559866376,39.62,-77.74,84.2,58,75,3.36
282,Quelimane,MZ,1559866500,-17.88,36.89,65.75,97,0,1.28
283,Nieuw Amsterdam,SR,1559866500,5.88,-55.08,78.8,94,40,10.58
284,Bathsheba,BB,1559866500,13.22,-59.52,82.4,74,20,13.87
285,Iqaluit,CA,1559866500,63.75,-68.52,42.8,75,75,5.82
286,Tawang,BT,1559866501,27.59,91.87,55.67,75,50,3.85
287,Union,US,1559866502,47.36,-123.1,66.99,82,40,9.17
288,Tilichiki,RU,1559866502,60.47,166.1,51.17,66,100,6.96
289,Albanel,CA,1559866502,48.88,-72.44,60.8,36,20,4.7
290,Bourg-en-Bresse,FR,1559866503,46.21,5.22,60.8,59,0,10.29
291,Camacha,PT,1559866503,33.08,-16.33,68.0,88,75,17.22
292,Las Cruces,CL,1559866503,-33.5,-71.62,55.4,100,75,2.24
293,Ancud,CL,1559866431,-41.87,-73.83,44.6,87,20,5.82
294,Xai-Xai,MZ,1559866504,-25.04,33.64,70.07,84,13,9.26
295,Colares,PT,1559866504,38.8,-9.45,59.0,76,20,4.7
296,Takoradi,GH,1559866504,4.89,-1.75,77.27,90,100,5.73
297,Shelburne,CA,1559866290,44.08,-80.2,72.0,49,1,6.93
298,Rochester,US,1559866352,44.02,-92.46,84.2,30,1,3.36
299,Dawlatabad,AF,1559866504,36.41,64.91,75.83,19,14,7.0
300,Darovskoy,RU,1559866504,58.77,47.96,47.21,78,0,2.84
301,Jipijapa,EC,1559866505,-1.35,-80.58,78.8,83,75,5.82
302,Mangrol,IN,1559866505,25.33,76.51,98.15,9,71,5.37
303,San Jose,PH,1559866506,15.79,120.99,86.45,57,64,7.25
304,Kerman,IR,1559866506,30.29,57.06,60.8,21,0,6.93
305,Martinho Campos,BR,1559866506,-19.33,-45.24,59.81,69,0,3.38
306,Ekhabi,RU,1559866507,53.51,142.97,41.81,84,0,3.74
307,Muros,ES,1559866507,42.77,-9.06,55.99,93,40,9.17
308,Shirochanka,RU,1559866507,46.66,38.33,69.35,67,0,16.96
309,Pangnirtung,CA,1559866507,66.15,-65.72,44.15,59,74,0.65
310,Vestmannaeyjar,IS,1559866508,63.44,-20.27,49.91,64,0,9.53
311,Abu Zabad,SD,1559866508,12.35,29.25,83.39,54,81,11.3
312,Anaconda,US,1559866508,46.13,-112.94,73.99,40,20,12.75
313,Sitka,US,1559866509,37.17,-99.65,76.91,49,100,12.57
314,Fare,PF,1559866509,-16.7,-151.02,81.05,79,35,14.0
315,Ponta do Sol,BR,1559866509,-20.63,-46.0,54.59,84,0,4.61
316,Luena,AO,1559866509,-11.78,19.91,50.63,51,2,2.35
317,Huron,US,1559866509,44.36,-98.21,87.8,37,1,9.17
318,Cairns,AU,1559866487,-16.92,145.77,69.01,94,75,14.99
319,Mount Pleasant,US,1559866509,33.16,-94.97,86.0,51,1,4.7
320,Pochutla,MX,1559866511,15.74,-96.47,87.8,62,20,17.22
321,Cabedelo,BR,1559866511,-6.97,-34.84,75.2,88,0,5.82
322,Yeppoon,AU,1559866511,-23.13,150.74,68.0,56,0,12.75
323,Havre-Saint-Pierre,CA,1559866511,50.23,-63.6,51.8,66,1,14.99
324,Amapa,HN,1559866511,15.09,-87.97,91.4,66,40,18.34
325,La Teste-de-Buch,FR,1559866512,44.62,-1.18,66.2,68,0,9.17
326,Tongren,CN,1559866512,27.72,109.18,73.67,84,3,3.11
327,Mitsamiouli,KM,1559866512,-11.38,43.28,80.33,74,38,11.56
328,Wattegama,LK,1559866512,7.35,80.68,74.93,83,69,4.88
329,Outjo,NA,1559866512,-20.11,16.16,57.2,24,0,2.28
330,Mersin,TR,1559866512,36.81,34.63,70.0,88,0,4.7
331,Sorong,ID,1559866513,-0.86,131.25,82.67,79,30,2.86
332,Bloemfontein,ZA,1559866513,-29.12,26.22,28.4,86,9,6.93
333,Lusaka,ZM,1559866513,-15.42,28.28,57.29,46,0,3.6
334,Harrisburg,US,1559866513,40.27,-76.89,82.4,51,75,5.82
335,Lebedyn,UA,1559866514,50.58,34.48,60.17,79,0,7.4
336,Mobaye,CF,1559866514,4.33,21.18,74.39,76,88,2.44
337,Quatre Cocos,MU,1559866514,-20.21,57.76,73.0,88,75,18.34
338,Baykit,RU,1559866514,61.68,96.39,61.79,45,0,4.21
339,The Valley,AI,1559866447,18.22,-63.06,82.0,88,40,8.05
340,Yerbogachen,RU,1559866514,61.28,108.01,60.17,73,0,4.85
341,Sovetskiy,RU,1559866515,56.76,48.47,49.37,80,0,4.41
342,Mehamn,NO,1559866515,71.03,27.85,39.47,91,73,4.16
343,Aripuana,BR,1559866515,-9.17,-60.63,76.37,72,41,2.06
344,Port Hardy,CA,1559866515,50.7,-127.42,51.8,81,90,6.93
345,Zhangye,CN,1559866515,38.94,100.46,63.05,41,15,2.77
346,Steinfurt,DE,1559866516,52.13,7.39,55.99,100,0,2.24
347,Rio Grande,BR,1559866516,-32.03,-52.1,58.73,94,89,4.07
348,Mount Gambier,AU,1559866516,-37.83,140.78,51.8,81,90,5.82
349,Cayenne,GF,1559866234,4.94,-52.33,78.8,88,80,2.24
350,Komsomolskiy,RU,1559866516,67.55,63.78,31.01,96,98,7.76
351,Uray,RU,1559866517,60.13,64.8,48.29,82,87,12.71
352,Harper,US,1559866219,30.3,-99.24,91.99,35,1,4.7
353,Daru,SL,1559866517,7.99,-10.85,72.41,99,67,2.48
354,Ulladulla,AU,1559866517,-35.36,150.48,55.99,66,0,9.17
355,Tooele,US,1559866344,40.53,-112.3,78.8,73,40,6.58
356,Grootfontein,NA,1559866517,-19.56,18.1,49.01,58,0,3.33
357,Kouango,CF,1559866517,4.99,19.98,70.61,93,67,3.71
358,Taoudenni,ML,1559866517,22.68,-3.98,97.07,10,1,6.51
359,Nanchang,CN,1559866518,28.68,115.89,76.37,74,2,3.06
360,Malpe,IN,1559866518,13.35,74.72,78.8,83,40,1.5
361,Tura,IN,1559866518,25.52,90.21,79.07,82,68,4.54
362,Karakol,KG,1559866518,42.49,78.39,49.91,69,41,8.19
363,Matiri,UG,1559866518,0.58,30.76,60.71,92,100,1.34
364,Teguise,ES,1559866519,29.06,-13.56,66.2,72,20,14.99
365,Monroe,US,1559866304,41.91,-83.4,73.99,88,1,4.7
366,Taltal,CL,1559866519,-25.41,-70.49,60.89,73,65,6.13
367,Buchanan,LR,1559866519,5.88,-10.05,78.8,94,20,8.61
368,Perth,GB,1559866229,56.4,-3.43,50.0,93,0,2.24
369,Maniitsoq,GL,1559866283,65.42,-52.9,40.37,85,99,2.46
370,Carnarvon,ZA,1559866520,-30.97,22.13,41.63,40,88,3.62
371,Minas,UY,1559866520,-34.38,-55.24,57.2,82,0,8.46
372,Bandarbeyla,SO,1559866520,9.49,50.81,81.41,67,100,22.68
373,Conselheiro Pena,BR,1559866520,-19.17,-41.47,63.77,78,63,5.1
374,Beringovskiy,RU,1559866328,63.05,179.32,55.13,47,76,10.67
375,Sheregesh,RU,1559866521,52.93,87.98,60.89,78,88,3.29
376,Gallup,US,1559866521,35.53,-108.74,84.2,18,20,10.29
377,Kita,JP,1559866521,35.76,139.74,78.01,83,75,3.36
378,Lamu,ID,1559866500,0.57,122.3,80.87,75,94,6.85
379,La Union,GT,1559866522,14.97,-89.29,87.01,32,56,5.28
380,Koutsouras,GR,1559866523,35.03,25.95,68.0,59,0,4.0
381,Sao Geraldo do Araguaia,BR,1559866523,-6.4,-48.55,73.31,90,6,2.06
382,Dong Hoi,VN,1559866523,17.48,106.6,83.93,69,89,3.31
383,Pushkino,RU,1559866523,56.01,37.85,68.0,68,0,2.24
384,Los Llanos de Aridane,ES,1559866523,28.66,-17.92,68.0,60,75,5.82
385,Wuwei,CN,1559866523,37.93,102.64,61.97,57,73,0.72
386,Vanimo,PG,1559866524,-2.67,141.3,83.03,69,81,3.6
387,Padang,ID,1559866524,-0.92,100.36,82.49,70,100,7.05
388,Guaira,BR,1559866524,-24.09,-54.26,59.81,96,0,5.5
389,Sioux Lookout,CA,1559866524,50.1,-91.92,75.2,38,40,4.7
390,Tagusao,PH,1559866524,9.19,117.81,84.47,71,100,1.72
391,Vilcun,CL,1559866525,-38.65,-72.23,46.4,93,75,6.93
392,Oume,CI,1559866525,6.38,-5.42,77.0,94,0,4.99
393,Roura,GF,1559866525,4.73,-52.33,78.8,88,95,2.24
394,Kurilsk,RU,1559866525,45.23,147.88,43.25,90,97,4.99
395,Necochea,AR,1559866525,-38.55,-58.74,52.61,88,100,7.43
396,Raudeberg,NO,1559866526,61.99,5.14,55.99,87,100,16.11
397,Faya,SA,1559866526,18.39,42.45,69.8,18,0,1.48
398,Whitehorse,CA,1559866526,60.72,-135.06,57.2,47,75,3.36
399,Isangel,VU,1559866526,-19.55,169.27,77.0,69,75,9.17
400,Le Port,FR,1559866527,42.87,1.37,60.01,23,90,1.01
401,Wanning,AT,1559866239,48.64,13.53,59.0,87,75,12.75
402,Vryburg,ZA,1559866527,-26.96,24.73,46.67,35,90,6.02
403,Solnechnyy,RU,1559866527,50.72,136.64,68.27,52,0,3.47
404,Aykhal,RU,1559866528,65.95,111.51,60.8,48,75,2.24
405,Hokitika,NZ,1559866528,-42.72,170.96,53.51,56,0,9.31
406,Jinchang,CN,1559866528,38.52,102.19,58.19,55,100,4.9
407,Aksu,KZ,1559866529,52.04,76.93,50.0,93,75,12.91
408,Marfino,RU,1559866529,56.07,37.56,68.0,68,0,2.24
409,Kharitonovo,RU,1559866529,61.4,47.5,45.95,69,15,0.2
410,Progreso,UY,1559866529,-34.68,-56.22,64.0,77,40,3.36
411,Moses Lake,US,1559866470,47.13,-119.28,70.0,15,1,18.34
412,Tucuman,PE,1559866530,-17.17,-70.89,57.29,55,0,0.96
413,Tarko-Sale,RU,1559866530,64.92,77.78,55.0,58,2,4.0
414,Plouzane,FR,1559866530,48.38,-4.62,54.0,93,100,9.17
415,Salta,AR,1559866489,-24.79,-65.41,60.8,77,0,9.17
416,Iranshahr,IR,1559866531,27.21,60.69,86.81,14,0,4.79
417,Sebezh,RU,1559866531,56.29,28.48,61.25,94,0,4.41
418,Tezu,IN,1559866531,27.93,96.16,78.71,63,99,1.95
419,Omboue,GA,1559866531,-1.57,9.26,76.19,84,68,8.77
420,Mao,DO,1559866531,19.55,-71.08,78.8,78,75,2.98
421,Turbat,PK,1559866532,26.0,63.05,91.85,30,0,4.05
422,Hirado,JP,1559866532,33.32,129.49,75.2,94,75,24.16
423,Tessalit,ML,1559866532,20.2,1.01,94.19,7,0,11.81
424,Teya,MX,1559866532,21.05,-89.07,100.4,33,40,11.41
425,Sinnai,IT,1559866533,39.3,9.2,71.6,78,0,9.17
426,Rocky Mountain House,CA,1559866423,52.38,-114.92,53.51,80,98,7.18
427,Acaponeta,MX,1559866533,22.49,-105.36,86.99,55,6,9.08
428,Norton,ZW,1559866533,-17.87,30.7,54.95,38,0,4.81
429,Laguna,MX,1559866534,27.52,-110.01,86.0,48,20,11.41
430,Coquimbo,CL,1559866534,-29.95,-71.34,62.01,82,0,9.17
431,Kasongo,CD,1559866534,-4.43,26.67,69.89,53,0,2.01
432,Machilipatnam,IN,1559866534,16.18,81.14,86.45,77,100,10.54
433,Luganville,VU,1559866534,-15.51,167.18,82.4,74,40,12.75
434,Yen Bai,VN,1559866535,21.7,104.87,78.71,80,100,0.11
435,Nome,US,1559866298,30.04,-94.42,87.8,70,40,9.17
436,Husavik,CA,1559866535,50.56,-96.99,75.0,25,8,5.01
437,Mazyr,BY,1559866535,52.05,29.27,62.15,93,0,4.92
438,Jalu,LY,1559866535,29.03,21.55,83.75,21,19,10.42
439,Aykino,RU,1559866535,62.22,49.99,43.97,76,86,0.69
440,Guaimaro,CO,1559866536,10.58,-74.71,82.4,88,90,5.82
441,Martapura,ID,1559866536,-3.41,114.85,77.0,94,20,5.82
442,Eskil,TR,1559866536,38.4,33.41,67.01,42,0,12.17
443,Peniche,PT,1559866536,39.36,-9.38,57.2,76,20,4.7
444,Suzdal,RU,1559866536,56.42,40.45,61.25,88,21,2.48
445,Road Town,VG,1559866537,18.42,-64.62,82.4,78,1,9.17
446,Yenagoa,NG,1559866537,4.92,6.26,74.03,94,100,2.68
447,Voznesenye,RU,1559866537,61.02,35.48,61.97,72,0,3.62
448,Tual,ID,1559866537,-5.67,132.75,81.59,82,49,24.11
449,Rocha,UY,1559866537,-34.48,-54.34,57.29,93,48,8.1
450,Ixtapa,MX,1559866538,20.71,-105.21,82.4,65,40,13.87
451,Rock Sound,BS,1559866538,24.9,-76.2,81.23,73,87,5.19
452,Pisco,PE,1559866538,-13.71,-76.2,71.6,30,40,4.7
453,Praia da Vitoria,PT,1559866539,38.73,-27.07,62.6,77,75,8.72
454,Alindao,CF,1559866539,5.04,21.21,70.43,89,89,2.06
455,Cradock,ZA,1559866539,-32.16,25.62,36.41,65,97,4.76
456,Lillesand,NO,1559866539,58.25,8.38,55.4,93,98,6.93
457,Aklavik,CA,1559866539,68.22,-135.01,60.8,31,40,11.41
458,Zhuanghe,CN,1559866540,39.7,122.97,64.0,62,58,4.0
459,Kawalu,ID,1559866540,-7.38,108.21,71.15,89,84,2.04
460,Vazante,BR,1559866540,-17.99,-46.9,61.25,73,0,3.78
461,Spijkenisse,NL,1559866540,51.85,4.33,57.99,81,3,4.7
462,Kupang,ID,1559866540,-10.16,123.6,79.43,72,38,19.6
463,Katsuura,JP,1559866540,33.93,134.5,73.4,94,75,19.46
464,Ayagoz,KZ,1559866541,47.96,80.43,51.89,70,62,7.76
465,Mishkino,RU,1559866541,56.22,46.62,55.4,58,0,6.71
466,Ballina,IE,1559866541,54.11,-9.15,52.0,92,25,5.01
467,Trojes,AL,1559866541,41.76,19.96,62.6,93,14,1.12
468,Sabang,PH,1559866542,13.72,123.58,84.47,76,87,8.41
469,Haines Junction,CA,1559866542,60.75,-137.51,57.29,33,37,4.88
470,Saint Anthony,US,1559866319,43.97,-111.68,62.6,63,75,20.8
471,Felipe Carrillo Puerto,MX,1559866542,19.58,-88.05,88.07,60,84,5.06
472,Kerrville,US,1559866269,30.05,-99.14,91.99,31,1,8.05
473,Belmonte,PT,1559866543,40.36,-7.35,48.99,90,82,5.01
474,Usinsk,RU,1559866543,66.0,57.56,40.01,85,0,7.05
475,Itupiranga,BR,1559866367,-5.13,-49.33,84.2,70,75,2.24
476,Milkovo,BG,1559866543,41.53,24.68,66.99,82,73,4.7
477,Funtua,NG,1559866543,11.52,7.31,76.01,81,100,9.28
478,Timbuktu,ML,1559866543,16.77,-3.01,91.31,9,5,3.58
479,Biltine,TD,1559866544,14.53,20.93,89.15,45,100,6.78
480,Yoichi,JP,1559866544,43.19,140.77,62.6,72,75,8.05
481,Sabya,YE,1559866544,16.19,43.1,91.49,58,2,6.06
482,Kudahuvadhoo,MV,1559866544,2.67,72.89,83.75,78,98,14.83
483,Minab,IR,1559866544,27.15,57.07,82.4,39,0,2.57
484,Mandan,US,1559866544,46.83,-100.89,84.0,42,1,12.75
485,Umm Lajj,SA,1559866545,25.02,37.27,87.89,70,6,14.92
486,Van Buren,US,1559866545,47.16,-67.94,66.2,26,1,9.17
487,Nemuro,JP,1559866545,43.32,145.57,53.6,93,75,8.05
488,Nortelandia,BR,1559866545,-14.45,-56.8,73.67,57,1,3.22
489,Touros,BR,1559866545,-5.2,-35.46,78.8,83,0,6.93
490,Jumla,NP,1559866546,29.28,82.18,45.77,67,13,5.1
491,La Rioja,AR,1559866546,-29.41,-66.86,50.27,93,100,1.57
492,Mizdah,LY,1559866546,31.45,12.98,81.77,21,66,9.08
493,Mount Isa,AU,1559866499,-20.73,139.49,60.8,38,52,12.75
494,Sur,OM,1559866547,22.57,59.53,91.67,41,0,12.82
495,Zhigansk,RU,1559866547,66.77,123.37,63.59,36,3,4.25
496,Ostrovnoy,RU,1559866547,68.05,39.51,52.61,84,11,16.08
497,Seoul,KR,1559866547,37.57,126.98,66.2,93,90,6.93
498,Palanga,RO,1559866547,44.45,25.08,61.79,86,4,4.07
499,Marzuq,YE,1559866548,14.4,46.47,80.33,40,19,5.23
500,Matara,PE,1559866548,-13.74,-72.9,36.95,80,22,4.97
501,Zeya,RU,1559866548,53.74,127.27,76.91,38,0,1.45
502,Ozinki,RU,1559866549,51.2,49.73,63.95,86,0,7.31
503,Ulagan,RU,1559866549,50.63,87.96,50.09,67,95,2.75
504,Juneau,US,1559866549,58.3,-134.42,68.0,42,75,11.41
505,Natal,BR,1559866549,-5.81,-35.21,78.8,78,20,8.05
506,Klaksvik,FO,1559866549,62.23,-6.59,44.6,87,100,5.82
507,Bambous Virieux,MU,1559866549,-20.34,57.76,73.0,88,75,18.34
508,Muli,IN,1559866550,22.62,71.45,83.21,78,5,13.58
509,Rincon,US,1559866550,32.3,-81.24,75.2,94,90,8.05
510,Burgos,ES,1559866550,42.34,-3.7,46.0,87,75,21.92
511,Ojinaga,US,1559866550,29.56,-104.41,96.8,13,1,3.36
512,Coalinga,US,1559866359,36.14,-120.36,93.2,20,20,16.11
513,Carballo,ES,1559866551,43.21,-8.69,52.0,87,96,10.29
514,Boa Vista,BR,1559866552,2.82,-60.67,82.4,78,40,5.82
515,Tazovskiy,RU,1559866552,67.47,78.7,39.29,85,75,8.01
516,Taicheng,CN,1559866552,22.25,112.8,88.0,83,87,4.0
517,Inirida,CO,1559866552,3.87,-67.92,74.57,97,86,0.98
518,Tibagi,BR,1559866552,-24.52,-50.41,53.51,96,0,3.04
519,Marsaxlokk,MT,1559866552,35.84,14.54,69.01,100,0,3.36
520,Kathu,ZA,1559866553,-27.7,23.05,37.99,53,47,6.67
521,Phatthalung,TH,1559866553,7.62,100.08,75.83,91,100,4.38
522,Kirundo,BI,1559866553,-2.59,30.09,59.63,93,25,1.99
523,Russell,AR,1559866553,-33.01,-68.8,59.0,58,0,8.05
524,Rurrenabaque,BO,1559866508,-14.44,-67.53,65.39,77,0,2.89
525,Buraydah,SA,1559866554,26.33,43.97,86.0,25,0,4.7
526,Payson,US,1559866554,40.04,-111.73,79.0,52,75,13.87
527,Iskandar,IR,1559866554,38.02,46.58,75.2,33,40,4.7
528,Goba,ET,1559866555,7.01,39.97,48.83,79,96,1.14
529,Ankara,TR,1559866458,39.92,32.85,64.0,62,0,2.24
